id_str,name,created,loc,mentions,hashtags,text
959592468739248128,TheHeatedMo,2018-02-03 01:00:47,"Brampton, Ontario","[{'screen_name': 'YouTube', 'name': 'YouTube', 'id': 10228272, 'id_str': '10228272', 'indices': [125, 133]}]",[],b'A *critical* EPISODE | POKEMON GOLD &amp; SILVER RANDOMIZER NUZLOCKE VERSUS w/ GAMEBOYLUKE - 24: https://t.co/tyzJVk93mj via @YouTube'
959592469183610881,AlecRocelRamos,2018-02-03 01:00:47,Winterfell,[],[],"b'.. Did you make the most of this beautiful, terrifying, messed up life? Did you let go of all the things that held\xe2\x80\xa6 https://t.co/A2BppfGxSQ'"
959592473398984704,NoServiceTy,2018-02-03 01:00:48,D Block,[],[],b'I needa get this house already'
959592473067581440,torrence_bear11,2018-02-03 01:00:48,"Pluto, WA",[],[],b'Welcome back...now go be a \xf0\x9f\x90\x90...I\xe2\x80\x99ve been waiting on this https://t.co/qsiURcFI7B'
959592473315045376,BoxesStorage,2018-02-03 01:00:48,"Phoenix, AZ",[],[],b'The North Face Hiking Rucksacks | Shop Sports Rucksacks | https://t.co/uLvieXtL4b https://t.co/yx4maRtX94'
959592473118027776,mgc0083,2018-02-03 01:00:48,"Bronx-S.I.-Nassau Cty, N.Y.","[{'screen_name': 'Comey', 'name': 'James Comey', 'id': 2334193741, 'id_str': '2334193741', 'indices': [0, 6]}]",[],"b'@Comey Not only did you and your ARROGANT little clique, subvert the FISA Court process, but in doing so clearly IN\xe2\x80\xa6 https://t.co/Q2GWCMbgdu'"
959592473340256258,BoozyGodOfDeath,2018-02-03 01:00:48,,[],[],b'nvm I need to learn to finish reading instructions'
959592473273155584,BikeRecruitment,2018-02-03 01:00:48,"Bell Gardens, CA",[],"[{'text': 'job', 'indices': [16, 20]}, {'text': 'BellGardens', 'indices': [24, 36]}, {'text': 'Hospitality', 'indices': [93, 105]}, {'text': 'Hiring', 'indices': [106, 113]}]","b'Interested in a #job in #BellGardens, CA? This could be a great fit: https://t.co/pH2bDwnkQA #Hospitality #Hiring'"
959592473025794048,Mightashwell,2018-02-03 01:00:48,,[],[],b'Imma take ya mom out for a nice dinner and never call her again https://t.co/T37gmvMGoW'
959592472832864256,AngryWomanInAtl,2018-02-03 01:00:48,,"[{'screen_name': 'edawg4life', 'name': 'edawg4life', 'id': 278827048, 'id_str': '278827048', 'indices': [0, 11]}, {'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [12, 28]}]",[],"b""@edawg4life @realDonaldTrump You can't be serious. Are you a bot? Did Trump ever release his tax returns? Has he sh\xe2\x80\xa6 https://t.co/pMA9GpOVyJ"""
